time,cpu,mem,diskRand,diskSeq
1731578139,678.93,947.71,57939.59,69446.55
1731579939,721.21,925.96,60022.48,67653.52
1731581739,688.32,914.62,55819.31,67385.94
1731583539,680.78,931.59,60708.28,66662.31
1731585339,684.48,932.38,58906.88,65384.70
1731587139,717.08,900.75,59524.72,67389.83
1731588939,681.90,932.09,59553.78,69799.62
1731590739,679.97,949.08,57428.47,67046.83
1731592539,715.02,944.06,58595.26,69537.56
1731594339,713.53,945.58,59885.32,69710.23
1731596139,678.82,948.03,56682.61,68875.85
1731597939,717.93,938.57,58287.50,70992.29
1731599739,676.74,955.66,59420.15,68144.68
1731601539,721.57,895.89,55331.88,70546.57
1731603339,683.18,943.51,58605.48,68324.57
1731605139,717.53,926.97,58190.00,63269.28
1731606939,712.32,953.85,59019.67,69111.14
1731608739,675.33,876.32,55621.43,69356.30
1731610539,681.53,914.43,60018.26,67440.67
1731612339,721.41,949.89,55100.94,68201.56
1731614139,713.55,898.19,55403.12,66357.73
1731615939,722.03,933.85,60367.46,70400.80
1731617739,685.17,950.82,56114.54,66517.26
1731619539,709.71,897.50,55760.72,69363.35
1731621339,717.73,923.60,59570.85,66938.35
1731623139,715.48,953.52,59078.61,67980.58
1731624939,722.18,949.73,53422.00,68035.24
1731626739,680.35,940.98,59741.09,68203.61
1731628539,675.65,927.84,57231.75,67921.59
1731630339,704.38,929.22,60840.71,68002.81
1731632139,715.30,936.63,56460.41,68411.12
1731633939,714.87,939.16,58015.07,68924.62
1731635739,678.28,946.04,57444.04,69300.38
1731637539,690.72,944.00,57935.44,69231.12
1731639339,720.91,930.66,59705.00,68737.74
1731641139,709.00,884.16,58208.09,70115.94
1731642939,718.83,956.82,57555.10,69008.88
1731644739,717.53,945.63,57989.78,67356.87
1731646539,703.27,889.37,51408.33,63045.56
1731648339,690.08,897.88,53070.61,64521.52
1731650139,676.90,912.25,55212.90,67013.95
1731651939,697.11,913.63,56436.52,66134.66
1731653739,718.93,915.01,57660.15,65255.36
1731655539,701.23,926.47,56555.74,65873.22
1731657339,683.52,939.83,55451.34,66491.08
1731659139,686.71,919.43,56291.33,65836.45
1731660939,689.89,899.04,57131.32,65021.81
1731662739,691.52,902.81,57612.45,65541.10
