time,cpu,mem,diskRand,diskSeq
1731577954,2847.58,14586.07,394764.87,429992.56
1731579754,2862.83,14876.63,402460.71,442708.31
1731581554,2859.11,14807.28,401968.35,430980.08
1731583354,2734.54,14240.79,394963.92,428070.72
1731585154,2820.46,14692.57,398344.38,431819.39
1731586954,2842.84,14807.21,393715.56,430183.32
1731588754,2852.42,14827.68,399184.90,424326.29
1731590554,2846.24,14756.10,395400.47,431146.74
1731592354,2867.85,14954.76,396552.82,433041.06
1731594154,2860.28,14841.97,394822.68,412343.65
1731595954,2860.38,14820.01,389482.75,421431.44
1731597754,2775.04,14873.93,400821.34,434842.36
1731599554,2833.02,14420.36,394500.42,434638.33
1731601354,2845.78,14722.04,388610.42,426671.52
1731603154,2837.04,14570.43,391447.97,409547.57
1731604954,2843.71,14769.90,393432.43,428620.88
1731606754,2814.88,14462.91,390839.07,427816.38
1731608554,2843.09,14781.98,384282.36,416453.30
1731610354,2848.49,14778.91,386817.10,413426.32
1731612154,2841.18,14882.98,390570.83,420618.17
1731613954,2791.77,14389.87,391869.33,425066.62
1731615754,2846.04,14794.18,382398.53,418346.27
1731617554,2836.28,14761.65,387449.81,415614.29
1731619354,2840.91,14741.22,394863.02,429997.75
1731621154,2831.06,14724.65,389305.99,423467.34
1731622954,2849.62,14808.70,391986.99,423409.77
1731624754,2865.97,14845.14,389325.45,424417.75
1731626554,2870.41,14830.73,393982.45,434340.26
1731628354,2861.16,14950.82,394313.38,427401.69
1731630154,2833.77,14618.15,389591.33,420346.05
1731631954,2876.51,15113.61,389741.20,425120.41
1731633754,2869.04,14891.72,390636.69,425075.35
1731635554,2837.52,14676.17,386371.21,423554.29
1731637354,2858.31,14870.80,390320.25,421391.81
1731639154,2837.50,14657.01,380805.35,413712.89
1731640954,2841.12,14682.35,381890.23,414275.02
1731642754,2843.90,14766.37,384223.33,417476.66
1731644554,2842.85,14760.14,383987.72,416725.83
1731646354,2842.99,14752.15,385676.23,420505.19
1731648154,2844.50,14748.22,384005.19,418507.06
1731649954,2845.74,14742.48,380355.39,408711.32
1731651754,2846.22,14734.11,379943.73,408413.71
1731653554,2845.99,14739.83,379522.42,407954.34
1731655354,2844.88,14736.91,379045.55,407327.59
1731657154,2843.69,14748.64,383228.41,414385.72
1731658954,2844.20,14744.20,381576.18,412871.14
1731660754,2843.60,14761.36,370016.93,401249.16
1731662554,2842.90,14758.91,371140.12,401736.47
