time,cpu,mem,diskRand,diskSeq
1731577744,2570.06,12789.55,382251.13,421321.50
1731579544,2581.82,13348.86,380467.87,360088.56
1731581344,2488.00,10346.33,335156.24,361912.18
1731583144,2489.91,11025.64,328344.43,369962.54
1731584944,2422.75,9587.49,333326.08,406463.89
1731586744,2530.50,13169.02,328567.19,356134.50
1731588544,2501.55,8493.28,324495.16,358378.82
1731590344,2468.53,11276.60,381358.24,360760.68
1731592144,2562.32,12984.00,338764.29,358814.83
1731593944,2461.02,8478.02,343938.89,420846.58
1731595744,2504.45,11149.85,382807.21,419695.75
1731597544,2565.42,13408.77,386529.92,423813.82
1731599344,2576.83,13416.25,305317.07,418045.06
1731601144,2552.92,13414.05,378704.59,421195.85
1731602944,2581.69,13348.49,379457.28,419741.26
1731604744,2574.77,13424.62,383090.84,421577.16
1731606544,2580.54,13413.29,380554.77,417490.03
1731608344,2562.77,13410.34,381962.13,421398.98
1731610144,2581.08,13406.14,380618.30,419576.57
1731611944,2582.71,13420.59,383389.61,421951.27
1731613744,2544.12,13420.53,359063.71,415299.04
1731615544,2576.64,13413.09,384560.00,421939.51
1731617344,2578.50,13418.85,381198.50,418077.93
1731619144,2577.95,13409.13,383638.89,422105.47
1731620944,2553.10,13414.71,366152.45,400786.77
1731622744,2575.90,13419.02,362136.88,422091.41
1731624544,2582.04,13419.15,354517.34,395677.94
1731626344,2538.38,13404.52,371058.54,419353.11
1731628144,2579.70,13397.35,378360.28,413296.80
1731629944,2579.72,13422.91,383177.32,420460.16
1731631744,2584.51,13415.01,377654.75,413122.42
1731633544,2545.62,13420.63,380311.74,400254.06
1731635344,2573.76,13347.72,364197.96,403805.37
1731637144,2579.05,13422.41,381865.48,411631.38
1731638944,2577.11,13411.20,378131.80,412200.39
1731640744,2553.84,13430.41,357539.36,415776.68
1731642544,2578.22,13422.63,376185.85,391573.64
1731644344,2581.30,13313.06,366661.22,406854.60
1731646144,2544.36,13408.62,359878.29,402332.77
1731647944,2580.92,13421.75,363844.36,419446.60
1731649744,2570.09,13277.00,353758.66,410960.56
1731651544,2578.25,13398.74,366994.68,420896.95
1731653344,2554.23,13421.37,362664.78,409578.43
1731655144,2580.04,13421.67,376213.66,397819.13
1731656944,2577.94,13424.83,373050.37,397049.91
1731658744,2579.42,13423.72,364649.72,418600.17
1731660544,2572.98,13389.47,375571.32,397946.77
1731662344,2577.68,13427.96,379317.72,409836.54
