time,cpu,mem,diskRand,diskSeq
1731577977,2764.29,13659.20,392712.54,446078.81
1731579777,2777.82,14067.73,390436.69,435237.56
1731581577,2764.67,14075.06,389625.23,453762.32
1731583377,2758.16,14060.18,387872.13,432407.13
1731585177,2756.95,13966.75,390492.61,443380.39
1731586977,2766.24,14101.99,395545.28,434123.78
1731588777,2761.17,14025.57,391146.61,449758.45
1731590577,2762.29,14047.49,392028.23,443431.23
1731592377,2797.34,14133.06,390141.50,440306.12
1731594177,2694.21,13771.06,383324.25,446440.83
1731595977,2768.05,13961.17,395039.05,449190.66
1731597777,2816.08,14127.18,392849.18,424840.98
1731599577,2777.15,14090.85,388538.76,438735.25
1731601377,2769.27,14055.87,386615.65,433953.49
1731603177,2717.90,13815.20,384147.23,444061.91
1731604977,2775.24,13979.97,390368.95,439813.88
1731606777,2751.97,14042.54,380909.44,427144.82
1731608577,2761.27,13887.17,389371.52,419268.82
1731610377,2722.25,13780.57,384775.46,438976.89
1731612177,2735.41,13837.37,383307.86,434965.84
1731613977,2766.07,14050.61,382183.15,445448.77
1731615777,2779.66,14077.53,390792.38,426912.23
1731617577,2793.29,14138.41,388616.03,439026.09
1731619377,2718.57,13651.92,393389.36,437068.88
1731621177,2769.90,14006.49,385015.72,427793.05
1731622977,2772.03,14062.95,387268.84,433700.16
1731624777,2781.48,14072.25,391158.55,435529.76
1731626577,2766.64,14071.33,392882.91,438729.05
1731628377,2759.43,13928.38,389102.69,429988.52
1731630177,2790.49,14077.22,392908.66,432398.28
1731631977,2811.87,14208.28,393335.59,438365.57
1731633777,2774.53,14173.09,394298.53,448171.65
1731635577,2714.65,13837.62,395441.93,443409.34
1731637377,2793.57,14150.34,391491.11,429853.88
1731639177,2768.48,14029.62,395577.29,438729.05
1731640977,2766.27,13934.12,393389.36,271351.31
1731642777,2768.89,13994.88,392731.85,422815.92
1731644577,2765.63,13936.65,393295.78,423361.46
1731646377,2747.46,13948.31,391953.27,444061.91
1731648177,2757.84,13878.30,385015.72,434965.84
1731649977,2761.96,13897.24,360644.07,393927.49
1731651777,2744.99,13948.19,361884.88,398130.69
1731653577,2763.04,14001.48,368025.42,399722.30
1731655377,2767.22,14013.20,370187.24,402037.55
1731657177,2742.81,13812.92,357919.42,394394.94
1731658977,2752.82,13976.37,365090.24,400161.51
1731660777,2766.19,14003.56,367458.27,399439.10
1731662577,2764.04,13988.92,368005.83,400122.68
