time,cpu,mem,diskRand,diskSeq
1731578117,2580.93,13467.77,363619.89,391772.78
1731579917,2510.53,12940.15,351894.55,382959.34
1731581717,2587.53,13422.11,362980.16,387847.47
1731583517,2600.95,13487.01,358294.80,381262.79
1731585317,2580.19,13400.75,364694.87,384791.56
1731587117,2579.38,13377.03,356262.38,381096.13
1731588917,2572.74,13416.08,358664.10,382409.40
1731590717,2584.67,13413.04,356943.08,380167.67
1731592517,2539.45,13313.75,364494.91,385787.69
1731594317,2554.65,13274.94,355685.40,381804.53
1731596117,2564.19,13404.30,352670.02,378555.02
1731597917,2565.30,13296.99,351031.80,371760.81
1731599717,2581.44,13465.30,359144.63,384287.30
1731601517,2578.68,13410.66,348478.32,375611.51
1731603317,2571.03,13431.39,357804.13,384207.49
1731605117,2565.15,13383.43,357420.15,385960.43
1731606917,2570.71,13337.48,354152.82,384558.02
1731608717,2574.38,13420.20,351646.63,382487.71
1731610517,2580.63,13282.31,352194.35,383589.06
1731612317,2572.54,13414.37,354871.77,382946.73
1731614117,2567.92,13407.39,349587.24,379306.08
1731615917,2585.93,13387.60,351535.45,381158.45
1731617717,2575.42,13431.30,352556.14,376985.78
1731619517,2589.97,13361.90,353141.17,387386.97
1731621317,2582.63,13449.80,355823.68,380355.96
1731623117,2601.46,13447.79,354312.21,378668.75
1731624917,2584.44,13537.30,350395.69,373913.14
1731626717,2569.72,13462.42,361163.67,389074.54
1731628517,2584.48,13509.96,354709.13,380821.10
1731630317,2586.93,13305.36,355911.98,374036.06
1731632117,2578.63,13465.91,354133.15,378158.95
1731633917,2584.31,13450.88,353082.45,381701.97
1731635717,2590.09,13448.68,350862.07,378061.59
1731637517,2520.52,13027.91,345599.96,379440.98
1731639317,2590.47,13415.48,350709.68,379248.18
1731641117,2583.91,13495.02,358973.37,394982.48
1731642917,2584.48,13706.80,355911.98,382946.73
1731644717,2570.71,13741.53,361163.67,376985.78
1731646517,2564.19,13750.21,354152.82,380167.67
1731648317,2554.65,13764.44,352556.14,381804.53
1731650117,2580.19,13760.99,351646.63,380167.67
1731651917,2587.53,13747.53,357420.15,383589.06
1731653717,2585.93,13708.57,352556.14,384558.02
1731655517,2554.65,13745.00,354312.21,384207.49
1731657317,2584.31,13726.00,354709.13,379306.08
1731659117,2585.93,13739.84,352194.35,378555.02
1731660917,2582.63,13728.76,350395.69,380355.96
1731662717,2535.76,13720.38,354675.20,373913.14
