time,cpu,mem,diskRand,diskSeq
1731578143,2518.49,12816.02,359795.83,388342.94
1731579943,2515.99,12694.06,356418.38,381242.28
1731581743,2511.72,12724.74,358370.28,385826.87
1731583543,2518.99,12662.69,358725.63,386924.62
1731585343,2514.27,12723.41,360582.19,382960.07
1731587143,2529.67,12769.88,355173.72,384842.41
1731588943,2519.28,12756.23,357814.96,386039.86
1731590743,2504.76,12735.27,359958.83,385104.46
1731592543,2507.73,12623.43,356148.15,384907.03
1731594343,2484.04,12615.78,360920.68,385375.97
1731596143,2445.31,12345.66,353382.37,384981.11
1731597943,2492.04,12646.28,358701.56,382382.56
1731599743,2531.16,12709.97,357772.07,381969.79
1731601543,2496.52,12673.43,361195.93,385903.81
1731603343,2498.34,12594.92,360911.64,385266.43
1731605143,2508.92,12746.17,359308.50,383735.27
1731606943,2521.64,12703.79,359153.92,384118.72
1731608743,2509.30,12602.31,352641.42,383924.84
1731610543,2507.32,12767.45,357178.13,386956.05
1731612343,2512.16,12444.62,356473.57,382456.74
1731614143,2513.23,12730.94,357164.36,382996.42
1731615943,2513.61,12650.16,357619.40,383631.70
1731617743,2527.79,12744.22,357609.98,386320.03
1731619543,2524.67,12714.90,355549.11,384735.39
1731621343,2521.92,12788.02,358695.38,384650.77
1731623143,2500.04,12685.98,358873.15,382179.85
1731624943,2519.31,12801.05,361040.10,384863.30
1731626743,2521.29,12821.26,359029.71,385618.66
1731628543,2506.80,12883.09,356066.22,381164.10
1731630343,2523.95,12851.64,360848.38,388193.27
1731632143,2518.45,12804.51,362654.55,385158.41
1731633943,2505.45,12660.80,360421.14,385074.55
1731635743,2513.40,12731.77,360107.89,386055.04
1731637543,2496.36,12767.61,357139.91,384450.08
1731639343,2519.62,12717.81,357788.84,382495.42
1731641143,2517.52,12825.02,360250.76,383350.66
1731642943,2565.52,12980.50,412810.01,384650.77
1731644743,2566.99,12914.18,356066.22,323186.75
1731646543,2567.96,13043.75,410968.19,443143.53
1731648343,2567.37,13045.74,412752.32,444600.85
1731650143,2568.26,12983.91,411624.37,384118.72
1731651943,2556.93,12913.46,361195.93,315717.64
1731653743,2540.16,12958.60,386464.99,406673.17
1731655543,2563.38,13398.15,374412.34,377094.90
1731657343,2563.00,12759.06,384809.59,409897.63
1731659143,2565.67,13041.58,387811.64,405103.12
1731660943,2551.99,12981.93,359756.37,389353.70
1731662743,2569.13,13034.84,382785.41,411070.77
