time,cpu,mem,diskRand,diskSeq
1731578077,691.02,943.14,60166.16,71562.01
1731579877,696.05,956.64,60187.01,69851.65
1731581677,699.77,936.13,60531.62,69188.98
1731583477,691.06,950.67,56662.60,68230.14
1731585277,694.85,922.28,57261.49,68038.62
1731587077,685.44,898.18,56482.00,65875.83
1731588877,721.90,935.76,59339.33,70989.97
1731590677,692.77,947.82,57026.72,71091.32
1731592477,683.60,908.64,57173.97,69243.93
1731594277,679.92,964.54,56498.85,68470.72
1731596077,688.05,903.85,60459.43,65572.33
1731597877,687.71,890.99,60016.60,72298.66
1731599677,694.28,950.73,63220.01,69789.57
1731601477,684.74,960.02,55601.50,64406.68
1731603277,677.50,954.85,54037.39,66569.00
1731605077,691.07,905.64,55976.30,63257.01
1731606877,673.10,903.34,54618.05,62270.26
1731608677,678.17,946.06,60277.43,65885.24
1731610477,727.79,907.98,61342.33,69552.69
1731612277,682.80,930.56,57601.41,69113.00
1731614077,677.36,932.67,58736.89,68656.09
1731615877,696.23,948.08,54120.96,68660.46
1731617677,690.63,938.06,59083.26,64878.12
1731619477,690.41,946.87,61334.32,70234.18
1731621277,694.48,935.99,55727.39,68011.36
1731623077,690.32,955.16,55303.92,68238.05
1731624877,685.76,952.53,59922.86,71130.66
1731626677,694.48,963.82,58118.77,71124.39
1731628477,680.63,925.90,56401.18,68728.21
1731630277,651.64,949.45,56910.02,70519.84
1731632077,721.38,961.51,57026.27,67339.18
1731633877,684.81,926.35,59156.55,72210.09
1731635677,697.28,919.69,59250.76,70896.18
1731637477,695.47,955.69,57687.14,70031.16
1731639277,706.90,927.31,60084.00,69254.52
1731641077,682.56,942.22,61211.37,69801.30
1731642877,680.62,968.56,60584.00,69734.79
1731644677,794.67,1044.16,64039.88,75316.02
1731646477,699.94,903.58,59403.13,58584.87
1731648277,683.88,927.31,56117.04,70517.86
1731650077,768.46,972.64,62570.05,66560.69
1731651877,761.57,1000.00,61517.68,73386.62
1731653677,755.90,990.02,59405.26,73762.12
1731655477,770.40,1043.96,64562.50,72226.71
1731657277,755.18,983.68,60567.25,71009.48
1731659077,763.41,1002.86,61280.47,71975.55
1731660877,756.02,991.33,59265.04,73582.30
1731662677,765.33,999.89,60349.38,72601.43
